CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
015213,TROY HEALTH & REHABILITATION CENTER,515 ELBA HIGHWAY,TROY,AL,36079,"515 ELBA HIGHWAY,TROY,AL,36079",2026-04-01,
015214,MADISON MANOR NURSING HOME,3891 SULLIVAN ST,MADISON,AL,35758,"3891 SULLIVAN ST,MADISON,AL,35758",2026-04-01,
015215,BIBB MEDICAL CENTER NURSING HOME,208 PIERSON AVE,CENTREVILLE,AL,35042,"208 PIERSON AVE,CENTREVILLE,AL,35042",2026-04-01,
015216,OAKVIEW MANOR HEALTH CARE CENTER,929 MIXON SCHOOL ROAD,OZARK,AL,36360,"929 MIXON SCHOOL ROAD,OZARK,AL,36360",2026-04-01,
015217,BIRMINGHAM NURSING AND REHABILITATION CTR LLC,1000 DUGAN AVENUE,BIRMINGHAM,AL,35214,"1000 DUGAN AVENUE,BIRMINGHAM,AL,35214",2026-04-01,
015222,FAIRHOPE HEALTH & REHAB,108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532,"108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532",2026-04-01,
015223,NORTHSIDE HEALTH CARE,700 HUTCHINS AVENUE,GADSDEN,AL,35901,"700 HUTCHINS AVENUE,GADSDEN,AL,35901",2026-04-01,
015228,ARABELLA HEALTH AND WELLNESS OF MONTGOMERY,4490 VIRGINIA LOOP ROAD,MONTGOMERY,AL,36116,"4490 VIRGINIA LOOP ROAD,MONTGOMERY,AL,36116",2026-04-01,
015315,"RIDGEWOOD HEALTH SERVICES, INC.",201 OAKHILL ROAD,JASPER,AL,35504,"201 OAKHILL ROAD,JASPER,AL,35504",2026-04-01,
015321,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",3141 OLD COLUMBIANA ROAD,BIRMINGHAM,AL,35226,"3141 OLD COLUMBIANA ROAD,BIRMINGHAM,AL,35226",2026-04-01,
015322,ENGLEWOOD HEALTH CARE CENTER,2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460,"2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460",2026-04-01,
015326,"PARK MANOR HEALTH AND REHABILITATION, LLC",2201 MCFARLAND BOULEVARD,NORTHPORT,AL,35476,"2201 MCFARLAND BOULEVARD,NORTHPORT,AL,35476",2026-04-01,
015330,MARENGO NURSING HOME,608 NORTH MAIN STREET,LINDEN,AL,36748,"608 NORTH MAIN STREET,LINDEN,AL,36748",2026-04-01,
015336,"LUVERNE HEALTH AND REHABILITATION, LLC",142 WEST THIRD STREET,LUVERNE,AL,36049,"142 WEST THIRD STREET,LUVERNE,AL,36049",2026-04-01,
015369,OAKS ON PARKWOOD SKILLED NURSING FACILITY,2625 LAUREL OAK DRIVE,BESSEMER,AL,35022,"2625 LAUREL OAK DRIVE,BESSEMER,AL,35022",2026-04-01,
015372,REGENCY HEALTH CARE AND REHABILITATION CENTER,"2061 POOLE DRIVE, NW",HUNTSVILLE,AL,35810,"2061 POOLE DRIVE, NW,HUNTSVILLE,AL,35810",2026-04-01,
015373,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,212 DOTHAN ROAD,ABBEVILLE,AL,36310,"212 DOTHAN ROAD,ABBEVILLE,AL,36310",2026-04-01,
015374,"THE PINE OF CAMDEN, LLC",550 PONDEROSA DRIVE,CAMDEN,AL,36726,"550 PONDEROSA DRIVE,CAMDEN,AL,36726",2026-04-01,
015376,DIVERSICARE OF WINFIELD,144 COUNTY HWY 14,WINFIELD,AL,35594,"144 COUNTY HWY 14,WINFIELD,AL,35594",2026-04-01,
015378,MARSHALL MANOR NURSING HOME,3120 NORTH STREET,GUNTERSVILLE,AL,35976,"3120 NORTH STREET,GUNTERSVILLE,AL,35976",2026-04-01,
015381,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,500 SPANISH FORT BLVD,SPANISH FORT,AL,36527,"500 SPANISH FORT BLVD,SPANISH FORT,AL,36527",2026-04-01,
015382,CANTERBURY HEALTH CARE FACILITY,1720 KNOWLES ROAD,PHENIX CITY,AL,36869,"1720 KNOWLES ROAD,PHENIX CITY,AL,36869",2026-04-01,
015383,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,1900 OLIVE STREET SW,CULLMAN,AL,35056,"1900 OLIVE STREET SW,CULLMAN,AL,35056",2026-04-01,
015386,ADAMS REHABILITATION AND HEALTHCARE CENTER,1555 HILLABEE STREET,ALEXANDER CITY,AL,35010,"1555 HILLABEE STREET,ALEXANDER CITY,AL,35010",2026-04-01,
015388,EAST GLEN,53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235,"53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235",2026-04-01,
015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,AL,36265,"410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,AL,36265",2026-04-01,
015392,CYPRESS COVE CARE CENTER,200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661,"200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661",2026-04-01,
015393,CROWNE HEALTH CARE OF MONTGOMERY,1837 UPPER WETUMPKA ROAD,MONTGOMERY,AL,36107,"1837 UPPER WETUMPKA ROAD,MONTGOMERY,AL,36107",2026-04-01,
015397,WINDSOR HOUSE,4411 MCALLISTER DRIVE,HUNTSVILLE,AL,35805,"4411 MCALLISTER DRIVE,HUNTSVILLE,AL,35805",2026-04-01,
015398,MONROE MANOR HEALTH & REHABILITATION CENTER,236 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460,"236 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460",2026-04-01,
015400,MEADOWVIEW NURSING CENTER,7300 OLD HIGHWAY 78 EAST,PELL CITY,AL,35128,"7300 OLD HIGHWAY 78 EAST,PELL CITY,AL,35128",2026-04-01,
015403,"PALM GARDENS HEALTH AND REHABILITATION, LLC",3104 DAUPHIN SQUARE CONNECTOR,MOBILE,AL,36607,"3104 DAUPHIN SQUARE CONNECTOR,MOBILE,AL,36607",2026-04-01,
015406,ARABELLA HEALTH & WELLNESS OF GRAND BAY,13750 HIGHWAY 90 WEST,GRAND BAY,AL,36541,"13750 HIGHWAY 90 WEST,GRAND BAY,AL,36541",2026-04-01,
015408,"WALKER REHABILITATION CENTER, INC",350 NORTHEAST 4TH STREET,CARBON HILL,AL,35549,"350 NORTHEAST 4TH STREET,CARBON HILL,AL,35549",2026-04-01,
015411,SHELBY RIDGE NURSING HOME,881 3RD STREET NORTHEAST,ALABASTER,AL,35007,"881 3RD STREET NORTHEAST,ALABASTER,AL,35007",2026-04-01,
015414,LAFAYETTE NURSING HOME,555 B STREET SW,LAFAYETTE,AL,36862,"555 B STREET SW,LAFAYETTE,AL,36862",2026-04-01,
015417,CROWNE HEALTHCARE OF NORTH BALDWIN,2010 MEDICAL CENTER DRIVE,BAY MINETTE,AL,36507,"2010 MEDICAL CENTER DRIVE,BAY MINETTE,AL,36507",2026-04-01,
015420,CUMBERLAND HEALTH AND REHAB,47065 AL HIGHWAY 277,BRIDGEPORT,AL,35740,"47065 AL HIGHWAY 277,BRIDGEPORT,AL,35740",2026-04-01,
015422,TLC NURSING CENTER,212 ELLEN STREET,ONEONTA,AL,35121,"212 ELLEN STREET,ONEONTA,AL,35121",2026-04-01,
015423,BROOKDALE UNIVERSITY PARK SNF (AL),501 UNIVERSITY PARK DRIVE,BIRMINGHAM,AL,35209,"501 UNIVERSITY PARK DRIVE,BIRMINGHAM,AL,35209",2026-04-01,
015425,WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,501 NORTH WOODBURN DRIVE,DOTHAN,AL,36303,"501 NORTH WOODBURN DRIVE,DOTHAN,AL,36303",2026-04-01,
015426,CROWNE HEALTH CARE OF SPRINGHILL,3712 DAUPHIN ST,MOBILE,AL,36608,"3712 DAUPHIN ST,MOBILE,AL,36608",2026-04-01,
